latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.625,25.1875,442.0,10800,Europe/Sofia,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),precipitation_probability (%),wind_speed_10m (km/h),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),soil_moisture_9_to_27cm (m³/m³),soil_temperature_0cm (°C),soil_temperature_6cm (°C),soil_temperature_18cm (°C)
2025-08-06T00:00,21.6,62,0.00,0,1.1,0.104,0.164,0.193,0.191,20.3,23.9,24.8
2025-08-06T01:00,20.7,65,0.00,0,1.1,0.106,0.163,0.193,0.191,19.3,23.0,24.5
2025-08-06T02:00,20.4,64,0.00,0,1.1,0.107,0.163,0.193,0.191,18.7,22.4,24.3
2025-08-06T03:00,21.0,61,0.00,0,4.7,0.110,0.163,0.194,0.191,18.7,21.7,23.9
2025-08-06T04:00,21.3,60,0.00,0,3.3,0.112,0.163,0.194,0.191,18.8,21.3,23.7
2025-08-06T05:00,20.6,63,0.00,0,1.1,0.114,0.162,0.193,0.191,17.9,21.1,23.5
2025-08-06T06:00,19.4,69,0.00,0,0.4,0.115,0.162,0.194,0.192,17.1,20.5,23.3
2025-08-06T07:00,19.0,78,0.00,0,1.6,0.117,0.161,0.194,0.192,17.7,20.2,23.0
2025-08-06T08:00,21.2,77,0.00,0,1.9,0.118,0.161,0.193,0.192,22.1,20.4,22.8
2025-08-06T09:00,23.8,56,0.00,0,4.6,0.117,0.161,0.194,0.193,26.6,21.6,22.6
2025-08-06T10:00,24.5,47,0.00,0,9.7,0.115,0.160,0.193,0.192,26.2,22.8,22.6
2025-08-06T11:00,25.6,43,0.00,0,12.5,0.112,0.160,0.193,0.192,29.8,23.8,22.6
2025-08-06T12:00,26.4,36,0.00,0,15.6,0.108,0.160,0.192,0.192,28.5,25.1,22.8
2025-08-06T13:00,26.6,36,0.00,0,15.6,0.105,0.159,0.192,0.192,29.6,25.7,23.0
2025-08-06T14:00,27.0,36,0.00,0,15.1,0.102,0.159,0.191,0.191,30.5,26.3,23.2
2025-08-06T15:00,27.4,37,0.00,3,14.1,0.099,0.158,0.190,0.191,31.2,26.6,23.4
2025-08-06T16:00,27.7,37,0.00,0,11.3,0.096,0.158,0.190,0.191,30.6,27.2,23.6
2025-08-06T17:00,27.2,39,0.00,3,10.8,0.094,0.157,0.189,0.190,28.6,27.3,23.8
2025-08-06T18:00,26.6,41,0.00,5,10.3,0.101,0.157,0.189,0.190,27.0,26.8,24.0
2025-08-06T19:00,26.2,42,0.00,13,10.9,0.099,0.156,0.188,0.190,26.5,26.4,24.2
2025-08-06T20:00,25.0,45,0.00,5,6.2,0.099,0.156,0.188,0.190,24.0,25.8,24.2
