latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),wind_speed_10m (km/h)
2025-03-25T00:00,10.3,94,0.00,9.5,8.9,0.245,0.158,3.6
2025-03-25T01:00,9.8,94,0.00,9.1,8.9,0.245,0.158,0.9
2025-03-25T02:00,9.9,94,0.10,8.8,8.9,0.246,0.158,1.5
2025-03-25T03:00,9.3,96,1.30,8.7,8.8,0.263,0.158,2.7
2025-03-25T04:00,10.5,95,0.00,10.9,9.4,0.211,0.152,0.4
2025-03-25T05:00,10.6,94,0.00,10.4,9.4,0.211,0.152,3.3
2025-03-25T06:00,9.9,95,0.00,9.9,9.4,0.211,0.152,3.0
2025-03-25T07:00,9.6,95,0.00,9.5,9.4,0.211,0.152,2.8
2025-03-25T08:00,10.0,92,0.00,9.3,9.3,0.211,0.152,4.3
2025-03-25T09:00,10.7,96,0.00,9.7,9.3,0.211,0.152,6.4
2025-03-25T10:00,12.9,89,0.00,10.6,9.3,0.210,0.152,4.0
2025-03-25T11:00,16.0,65,0.00,12.2,9.4,0.210,0.152,0.8
2025-03-25T12:00,18.5,53,0.00,14.2,9.5,0.209,0.152,4.6
2025-03-25T13:00,20.5,46,0.00,16.4,9.8,0.207,0.152,5.5
2025-03-25T14:00,21.2,41,0.00,17.8,10.1,0.205,0.152,6.5
2025-03-25T15:00,21.4,40,0.00,18.7,10.4,0.203,0.152,5.6
2025-03-25T16:00,20.1,49,0.00,17.6,10.2,0.200,0.151,7.3
2025-03-25T17:00,20.2,48,0.00,17.9,10.5,0.199,0.151,5.4
2025-03-25T18:00,19.3,52,0.00,17.3,10.7,0.199,0.151,3.2
2025-03-25T19:00,17.3,63,0.00,16.4,11.0,0.198,0.151,4.4
2025-03-25T20:00,15.0,76,0.10,15.2,11.1,0.199,0.151,4.1
2025-03-25T21:00,14.3,84,0.10,14.2,11.2,0.200,0.151,4.9
2025-03-25T22:00,13.2,91,0.10,13.4,11.3,0.201,0.151,3.9
2025-03-25T23:00,12.3,92,0.00,12.5,11.3,0.201,0.151,1.7
2025-03-26T00:00,12.3,93,0.00,12.1,11.3,0.201,0.151,2.7
2025-03-26T01:00,12.0,93,0.30,11.7,11.2,0.204,0.152,0.8
2025-03-26T02:00,11.6,94,0.20,11.4,11.2,0.206,0.152,1.3
2025-03-26T03:00,11.5,92,0.00,11.2,11.1,0.207,0.152,1.8
2025-03-26T04:00,10.1,96,0.00,11.9,11.2,0.190,0.142,3.9
2025-03-26T05:00,9.7,98,0.00,11.2,11.2,0.190,0.142,3.8
2025-03-26T06:00,10.0,98,0.00,10.8,11.1,0.190,0.142,2.6
2025-03-26T07:00,10.4,97,0.10,10.6,11.0,0.191,0.142,3.4
2025-03-26T08:00,10.6,96,0.00,10.5,10.9,0.191,0.142,2.5
2025-03-26T09:00,12.7,95,0.10,11.2,10.9,0.192,0.142,1.1
2025-03-26T10:00,13.6,90,0.00,11.9,10.9,0.192,0.142,0.6
2025-03-26T11:00,14.7,83,0.00,12.9,10.9,0.192,0.142,4.6
2025-03-26T12:00,17.1,67,0.10,14.6,10.9,0.192,0.142,7.8
2025-03-26T13:00,15.3,74,0.20,14.7,11.1,0.192,0.142,9.7
2025-03-26T14:00,17.0,65,0.20,15.4,11.2,0.194,0.142,6.9
2025-03-26T15:00,18.5,59,0.20,16.5,11.3,0.195,0.142,7.9
2025-03-26T16:00,18.2,62,0.20,15.7,11.3,0.209,0.141,9.3
2025-03-26T17:00,18.4,59,0.00,16.3,11.4,0.208,0.141,11.3
2025-03-26T18:00,16.8,67,0.00,15.8,11.6,0.207,0.141,0.4
2025-03-26T19:00,15.5,77,0.10,15.3,11.7,0.208,0.141,2.0
2025-03-26T20:00,13.0,85,0.00,14.0,11.8,0.208,0.141,2.1
2025-03-26T21:00,13.3,83,0.00,13.1,11.8,0.208,0.141,5.1
2025-03-26T22:00,13.5,82,0.00,12.6,11.7,0.208,0.141,5.6
2025-03-26T23:00,12.2,89,0.00,11.9,11.7,0.208,0.141,6.3
2025-03-27T00:00,11.3,94,0.00,11.4,11.6,0.208,0.141,5.9
2025-03-27T01:00,10.1,95,0.00,10.7,11.5,0.207,0.141,3.0
2025-03-27T02:00,10.0,94,0.00,10.2,11.4,0.207,0.141,2.0
2025-03-27T03:00,9.3,94,0.00,9.4,11.3,0.207,0.141,0.7
2025-03-27T04:00,10.0,96,0.00,10.3,11.3,0.210,0.142,1.6
2025-03-27T05:00,10.1,94,0.00,10.0,11.2,0.210,0.142,0.4
2025-03-27T06:00,9.8,95,0.10,9.6,11.1,0.211,0.142,0.9
2025-03-27T07:00,9.9,93,0.50,9.5,10.9,0.218,0.142,2.8
2025-03-27T08:00,10.0,92,0.10,9.4,10.8,0.219,0.142,0.3
2025-03-27T09:00,10.8,89,0.00,9.9,10.7,0.219,0.142,5.4
2025-03-27T10:00,10.9,90,0.00,10.3,10.6,0.218,0.142,1.5
2025-03-27T11:00,12.2,82,0.00,11.1,10.6,0.218,0.142,0.9
2025-03-27T12:00,14.0,67,0.00,12.4,10.6,0.218,0.142,4.5
2025-03-27T13:00,16.8,52,0.00,14.7,10.7,0.216,0.142,5.1
2025-03-27T14:00,16.8,50,0.00,15.5,10.8,0.215,0.142,7.5
2025-03-27T15:00,16.8,48,0.00,15.8,11.0,0.214,0.142,8.4
2025-03-27T16:00,19.9,40,0.00,18.3,11.4,0.204,0.143,14.4
2025-03-27T17:00,19.5,42,0.00,18.5,11.6,0.202,0.143,14.7
2025-03-27T18:00,18.0,49,0.00,17.9,11.9,0.201,0.143,14.3
2025-03-27T19:00,16.2,56,0.00,16.9,12.1,0.200,0.143,11.8
2025-03-27T20:00,14.7,57,0.00,15.7,12.2,0.200,0.143,10.5
2025-03-27T21:00,13.7,55,0.00,14.7,12.3,0.200,0.143,10.0
2025-03-27T22:00,12.6,54,0.00,13.8,12.3,0.199,0.143,10.6
2025-03-27T23:00,12.1,56,0.00,13.1,12.3,0.199,0.143,7.0
2025-03-28T00:00,11.2,61,0.00,12.3,12.2,0.199,0.143,5.1
2025-03-28T01:00,10.5,67,0.00,11.3,12.1,0.199,0.143,1.3
2025-03-28T02:00,10.2,69,0.00,10.9,12.0,0.199,0.143,1.5
2025-03-28T03:00,9.7,76,0.30,10.6,11.9,0.201,0.143,0.5
2025-03-28T04:00,9.9,90,1.70,11.7,12.0,0.221,0.145,3.4
2025-03-28T05:00,9.9,92,0.10,11.1,11.9,0.222,0.145,1.4
2025-03-28T06:00,9.2,93,0.30,10.5,11.8,0.225,0.145,8.1
2025-03-28T07:00,8.8,96,0.10,10.1,11.6,0.226,0.145,1.0
2025-03-28T08:00,9.4,87,0.00,9.8,11.5,0.226,0.145,3.7
2025-03-28T09:00,10.7,82,0.00,10.2,11.4,0.226,0.146,6.7
2025-03-28T10:00,11.4,76,0.00,10.8,11.3,0.226,0.146,3.6
2025-03-28T11:00,11.7,73,0.20,11.4,11.2,0.227,0.146,5.9
2025-03-28T12:00,11.0,82,0.40,11.4,11.2,0.230,0.146,9.7
2025-03-28T13:00,10.6,91,1.60,11.4,11.1,0.249,0.146,4.7
2025-03-28T14:00,10.9,91,0.70,11.4,11.1,0.257,0.146,5.8
2025-03-28T15:00,10.9,94,0.60,11.5,11.1,0.262,0.146,10.8
2025-03-28T16:00,11.7,91,1.00,12.4,11.3,0.274,0.143,7.7
2025-03-28T17:00,11.8,88,1.00,12.2,11.3,0.284,0.143,7.7
2025-03-28T18:00,11.2,88,0.80,11.7,11.3,0.293,0.143,11.0
2025-03-28T19:00,10.7,85,0.20,11.3,11.2,0.293,0.144,6.9
2025-03-28T20:00,9.6,88,0.00,10.7,11.2,0.292,0.144,0.9
2025-03-28T21:00,9.8,90,0.00,10.4,11.1,0.291,0.145,4.8
2025-03-28T22:00,9.3,94,0.00,10.1,11.0,0.289,0.145,6.0
2025-03-28T23:00,8.7,96,0.00,9.8,10.9,0.289,0.146,4.2
2025-03-29T00:00,8.5,93,0.10,9.6,10.8,0.288,0.146,2.7
2025-03-29T01:00,8.1,94,0.00,9.3,10.7,0.287,0.147,2.9
2025-03-29T02:00,7.7,94,0.00,9.0,10.5,0.286,0.147,1.8
2025-03-29T03:00,7.6,95,0.00,8.9,10.4,0.285,0.147,1.2
2025-03-29T04:00,8.4,93,0.00,9.8,10.4,0.298,0.149,2.7
2025-03-29T05:00,8.2,95,0.00,9.5,10.3,0.297,0.150,3.3
2025-03-29T06:00,8.2,96,0.10,9.2,10.3,0.296,0.150,3.2
2025-03-29T07:00,8.0,97,0.00,9.0,10.2,0.295,0.151,2.7
2025-03-29T08:00,8.0,96,0.10,8.9,10.1,0.294,0.151,2.4
2025-03-29T09:00,8.1,95,0.10,9.0,10.0,0.294,0.152,0.6
2025-03-29T10:00,8.6,92,0.10,9.3,9.9,0.293,0.152,1.8
2025-03-29T11:00,10.2,81,0.10,10.2,9.9,0.292,0.153,2.8
2025-03-29T12:00,11.5,73,0.10,11.4,9.9,0.290,0.153,4.6
2025-03-29T13:00,12.8,66,0.00,12.6,10.0,0.288,0.153,4.6
2025-03-29T14:00,13.6,60,0.00,13.8,10.1,0.286,0.154,4.8
2025-03-29T15:00,14.4,54,0.00,14.8,10.3,0.283,0.154,3.9
2025-03-29T16:00,15.5,47,0.00,15.8,10.4,0.276,0.157,8.3
2025-03-29T17:00,15.3,49,0.00,15.9,10.7,0.274,0.158,11.8
2025-03-29T18:00,12.5,66,0.00,15.0,10.9,0.272,0.158,7.0
2025-03-29T19:00,11.7,72,0.00,14.1,11.0,0.271,0.158,2.7
2025-03-29T20:00,10.3,81,0.00,12.8,11.1,0.271,0.158,0.7
2025-03-29T21:00,8.8,87,0.00,11.5,11.1,0.270,0.159,1.5
2025-03-29T22:00,8.0,90,0.00,10.5,11.0,0.269,0.159,2.0
2025-03-29T23:00,7.2,92,0.00,9.7,10.9,0.269,0.159,2.0
2025-03-30T00:00,6.6,93,0.00,9.0,10.8,0.268,0.159,2.2
2025-03-30T01:00,6.1,94,0.00,8.4,10.7,0.267,0.159,1.6
2025-03-30T02:00,6.5,92,0.00,8.0,10.5,0.267,0.160,0.9
2025-03-30T03:00,6.2,93,0.00,7.5,10.3,0.266,0.160,1.1
2025-03-30T04:00,8.2,90,0.00,9.3,10.6,0.265,0.164,1.5
2025-03-30T05:00,8.0,93,0.00,8.9,10.5,0.264,0.164,2.0
2025-03-30T06:00,8.7,93,0.00,9.0,10.3,0.264,0.164,2.6
2025-03-30T07:00,7.3,97,0.00,8.6,10.2,0.263,0.165,2.4
2025-03-30T08:00,7.1,98,0.00,8.4,10.1,0.263,0.165,1.6
2025-03-30T09:00,9.8,92,0.00,9.1,10.0,0.262,0.165,0.7
2025-03-30T10:00,11.5,82,0.00,10.2,9.9,0.262,0.165,2.1
2025-03-30T11:00,12.9,71,0.10,11.5,10.0,0.261,0.165,3.5
2025-03-30T12:00,14.2,61,0.00,12.7,10.1,0.260,0.165,3.1
2025-03-30T13:00,15.3,56,0.00,14.0,10.2,0.259,0.165,4.7
2025-03-30T14:00,16.3,52,0.00,15.1,10.4,0.257,0.165,4.1
2025-03-30T15:00,13.8,66,1.70,15.0,10.6,0.275,0.166,9.3
2025-03-30T16:00,13.6,64,0.10,14.6,10.6,0.317,0.152,2.9
2025-03-30T17:00,14.1,63,0.00,14.8,10.8,0.313,0.153,4.6
