time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),wind_speed_10m (km/h),latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2025-03-25 00:00:00,10.3,94,0.00,9.5,8.9,0.245,0.158,3.6,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 01:00:00,9.8,94,0.00,9.1,8.9,0.245,0.158,0.9,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 02:00:00,9.9,94,0.10,8.8,8.9,0.246,0.158,1.5,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 03:00:00,9.3,96,1.30,8.7,8.8,0.263,0.158,2.7,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 04:00:00,10.5,95,0.00,10.9,9.4,0.211,0.152,0.4,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 05:00:00,10.6,94,0.00,10.4,9.4,0.211,0.152,3.3,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 06:00:00,9.9,95,0.00,9.9,9.4,0.211,0.152,3.0,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 07:00:00,9.6,95,0.00,9.5,9.4,0.211,0.152,2.8,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 08:00:00,10.0,92,0.00,9.3,9.3,0.211,0.152,4.3,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 09:00:00,10.7,96,0.00,9.7,9.3,0.211,0.152,6.4,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 10:00:00,12.9,89,0.00,10.6,9.3,0.210,0.152,4.0,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 11:00:00,16.0,65,0.00,12.2,9.4,0.210,0.152,0.8,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 12:00:00,18.5,53,0.00,14.2,9.5,0.209,0.152,4.6,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 13:00:00,20.5,46,0.00,16.4,9.8,0.207,0.152,5.5,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 14:00:00,21.2,41,0.00,17.8,10.1,0.205,0.152,6.5,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 15:00:00,21.4,40,0.00,18.7,10.4,0.203,0.152,5.6,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 16:00:00,20.1,49,0.00,17.6,10.2,0.200,0.151,7.3,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 17:00:00,20.2,48,0.00,17.9,10.5,0.199,0.151,5.4,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 18:00:00,19.3,52,0.00,17.3,10.7,0.199,0.151,3.2,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 19:00:00,17.3,63,0.00,16.4,11.0,0.198,0.151,4.4,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 20:00:00,15.0,76,0.10,15.2,11.1,0.199,0.151,4.1,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 21:00:00,14.3,84,0.10,14.2,11.2,0.200,0.151,4.9,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 22:00:00,13.2,91,0.10,13.4,11.3,0.201,0.151,3.9,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-25 23:00:00,12.3,92,0.00,12.5,11.3,0.201,0.151,1.7,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 00:00:00,12.3,93,0.00,12.1,11.3,0.201,0.151,2.7,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 01:00:00,12.0,93,0.30,11.7,11.2,0.204,0.152,0.8,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 02:00:00,11.6,94,0.20,11.4,11.2,0.206,0.152,1.3,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 03:00:00,11.5,92,0.00,11.2,11.1,0.207,0.152,1.8,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 04:00:00,10.1,96,0.00,11.9,11.2,0.190,0.142,3.9,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 05:00:00,9.7,98,0.00,11.2,11.2,0.190,0.142,3.8,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 06:00:00,10.0,98,0.00,10.8,11.1,0.190,0.142,2.6,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 07:00:00,10.4,97,0.10,10.6,11.0,0.191,0.142,3.4,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 08:00:00,10.6,96,0.00,10.5,10.9,0.191,0.142,2.5,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 09:00:00,12.7,95,0.10,11.2,10.9,0.192,0.142,1.1,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 10:00:00,13.6,90,0.00,11.9,10.9,0.192,0.142,0.6,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 11:00:00,14.7,83,0.00,12.9,10.9,0.192,0.142,4.6,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 12:00:00,17.1,67,0.10,14.6,10.9,0.192,0.142,7.8,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 13:00:00,15.3,74,0.20,14.7,11.1,0.192,0.142,9.7,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 14:00:00,17.0,65,0.20,15.4,11.2,0.194,0.142,6.9,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 15:00:00,18.5,59,0.20,16.5,11.3,0.195,0.142,7.9,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 16:00:00,18.2,62,0.20,15.7,11.3,0.209,0.141,9.3,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 17:00:00,18.4,59,0.00,16.3,11.4,0.208,0.141,11.3,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 18:00:00,16.8,67,0.00,15.8,11.6,0.207,0.141,0.4,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 19:00:00,15.5,77,0.10,15.3,11.7,0.208,0.141,2.0,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 20:00:00,13.0,85,0.00,14.0,11.8,0.208,0.141,2.1,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 21:00:00,13.3,83,0.00,13.1,11.8,0.208,0.141,5.1,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 22:00:00,13.5,82,0.00,12.6,11.7,0.208,0.141,5.6,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-26 23:00:00,12.2,89,0.00,11.9,11.7,0.208,0.141,6.3,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 00:00:00,11.3,94,0.00,11.4,11.6,0.208,0.141,5.9,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 01:00:00,10.1,95,0.00,10.7,11.5,0.207,0.141,3.0,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 02:00:00,10.0,94,0.00,10.2,11.4,0.207,0.141,2.0,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 03:00:00,9.3,94,0.00,9.4,11.3,0.207,0.141,0.7,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 04:00:00,10.0,96,0.00,10.3,11.3,0.210,0.142,1.6,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 05:00:00,10.1,94,0.00,10.0,11.2,0.210,0.142,0.4,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 06:00:00,9.8,95,0.10,9.6,11.1,0.211,0.142,0.9,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 07:00:00,9.9,93,0.50,9.5,10.9,0.218,0.142,2.8,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 08:00:00,10.0,92,0.10,9.4,10.8,0.219,0.142,0.3,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 09:00:00,10.8,89,0.00,9.9,10.7,0.219,0.142,5.4,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 10:00:00,10.9,90,0.00,10.3,10.6,0.218,0.142,1.5,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 11:00:00,12.2,82,0.00,11.1,10.6,0.218,0.142,0.9,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 12:00:00,14.0,67,0.00,12.4,10.6,0.218,0.142,4.5,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 13:00:00,16.8,52,0.00,14.7,10.7,0.216,0.142,5.1,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 14:00:00,16.8,50,0.00,15.5,10.8,0.215,0.142,7.5,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 15:00:00,16.8,48,0.00,15.8,11.0,0.214,0.142,8.4,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 16:00:00,19.9,40,0.00,18.3,11.4,0.204,0.143,14.4,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 17:00:00,19.5,42,0.00,18.5,11.6,0.202,0.143,14.7,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 18:00:00,18.0,49,0.00,17.9,11.9,0.201,0.143,14.3,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 19:00:00,16.2,56,0.00,16.9,12.1,0.200,0.143,11.8,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 20:00:00,14.7,57,0.00,15.7,12.2,0.200,0.143,10.5,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 21:00:00,13.7,55,0.00,14.7,12.3,0.200,0.143,10.0,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 22:00:00,12.6,54,0.00,13.8,12.3,0.199,0.143,10.6,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-27 23:00:00,12.1,56,0.00,13.1,12.3,0.199,0.143,7.0,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-28 00:00:00,11.2,61,0.00,12.3,12.2,0.199,0.143,5.1,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
2025-03-28 01:00:00,10.5,67,0.00,11.3,12.1,0.199,0.143,1.3,42.636204,25.353981,442.0,10800,Europe/Sofia,GMT+3
